train_number,sim_date,train_type,train_zone,priority_rank,is_train_period,cur_station_name,next_station_name,cur_stop_seq,cur_delay_minutes,cur_cum_distance_km,distance_remaining_km,cur_scheduled_min,next_scheduled_min,upcoming_dist_km,upcoming_tsr_frac,upcoming_congestion_mean,upcoming_foggy_frac,next_station_zone,target_delay_minutes,hist_avg_delay_by_train,hist_avg_delay_by_type
12032,2026-01-02,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,10.6,148.382,310.929,111.0,198.0,7.475,0.0,0.236,0.0,UNK,6.1,10.368840579710145,16.703789389708817
12032,2026-01-02,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,6.1,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.018,0.0,UNK,37.8,10.368840579710145,16.703789389708817
12032,2026-01-03,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.154,1.0,UNK,0.2,10.368840579710145,16.703789389708817
12032,2026-01-03,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.2,42.981,416.33,28.0,61.0,7.189,0.0,0.098,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-03,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.264,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-03,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.0,99.923,359.388,76.0,111.0,13.049,0.0,0.112,1.0,UNK,1.9,10.368840579710145,16.703789389708817
12032,2026-01-03,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,1.9,148.382,310.929,111.0,198.0,7.475,0.0,0.233,1.0,UNK,1.4,10.368840579710145,16.703789389708817
12032,2026-01-03,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,1.4,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.371,0.0,UNK,11.6,10.368840579710145,16.703789389708817
12032,2026-01-04,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.092,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-04,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.237,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-04,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.395,1.0,UNK,0.2,10.368840579710145,16.703789389708817
12032,2026-01-04,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.2,99.923,359.388,76.0,111.0,13.049,0.0,0.389,1.0,UNK,3.8,10.368840579710145,16.703789389708817
12032,2026-01-04,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,3.8,148.382,310.929,111.0,198.0,7.475,0.0,0.121,0.0,UNK,1.5,10.368840579710145,16.703789389708817
12032,2026-01-04,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,1.5,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.137,0.0,UNK,2.6,10.368840579710145,16.703789389708817
12032,2026-01-05,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.217,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-05,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.203,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-05,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.009,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-05,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.0,99.923,359.388,76.0,111.0,13.049,0.0,0.007,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-05,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,0.0,148.382,310.929,111.0,198.0,7.475,0.0,0.118,1.0,UNK,4.4,10.368840579710145,16.703789389708817
12032,2026-01-05,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,4.4,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.114,0.0,UNK,12.4,10.368840579710145,16.703789389708817
12032,2026-01-06,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,4.2,0.0,459.311,0.0,28.0,5.524,0.0,0.068,0.0,UNK,1.2,10.368840579710145,16.703789389708817
12032,2026-01-06,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,1.2,42.981,416.33,28.0,61.0,7.189,0.0,0.007,1.0,UNK,0.7,10.368840579710145,16.703789389708817
12032,2026-01-06,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.7,79.043,380.268,61.0,76.0,7.514,0.0,0.193,1.0,UNK,1.7,10.368840579710145,16.703789389708817
12032,2026-01-06,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,1.7,99.923,359.388,76.0,111.0,13.049,0.0,0.746,1.0,UNK,8.4,10.368840579710145,16.703789389708817
12032,2026-01-06,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,8.4,148.382,310.929,111.0,198.0,7.475,0.0,0.158,1.0,UNK,7.2,10.368840579710145,16.703789389708817
12032,2026-01-06,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,7.2,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.321,0.0,UNK,44.0,10.368840579710145,16.703789389708817
12032,2026-01-07,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.031,0.0,UNK,10.6,10.368840579710145,16.703789389708817
12032,2026-01-07,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,10.6,42.981,416.33,28.0,61.0,7.189,0.0,0.246,0.0,UNK,20.1,10.368840579710145,16.703789389708817
12032,2026-01-07,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,20.1,79.043,380.268,61.0,76.0,7.514,0.0,0.078,1.0,UNK,19.4,10.368840579710145,16.703789389708817
12032,2026-01-07,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,19.4,99.923,359.388,76.0,111.0,13.049,0.0,0.345,0.0,UNK,18.9,10.368840579710145,16.703789389708817
12032,2026-01-07,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,18.9,148.382,310.929,111.0,198.0,7.475,0.0,0.044,0.0,UNK,29.4,10.368840579710145,16.703789389708817
12032,2026-01-07,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,29.4,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.159,0.0,UNK,70.6,10.368840579710145,16.703789389708817
12032,2026-01-08,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.389,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-08,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.206,0.0,UNK,0.1,10.368840579710145,16.703789389708817
12032,2026-01-08,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.1,79.043,380.268,61.0,76.0,7.514,0.0,0.207,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-08,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.0,99.923,359.388,76.0,111.0,13.049,1.0,0.288,1.0,UNK,5.9,10.368840579710145,16.703789389708817
12032,2026-01-08,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,5.9,148.382,310.929,111.0,198.0,7.475,0.0,0.161,1.0,UNK,24.6,10.368840579710145,16.703789389708817
12032,2026-01-08,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,24.6,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.065,0.0,UNK,56.5,10.368840579710145,16.703789389708817
12032,2026-01-09,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.201,1.0,UNK,0.3,10.368840579710145,16.703789389708817
12032,2026-01-09,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.3,42.981,416.33,28.0,61.0,7.189,0.0,0.266,0.0,UNK,10.7,10.368840579710145,16.703789389708817
12032,2026-01-09,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,10.7,79.043,380.268,61.0,76.0,7.514,0.0,0.764,0.0,UNK,13.2,10.368840579710145,16.703789389708817
12032,2026-01-09,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,13.2,99.923,359.388,76.0,111.0,13.049,1.0,0.329,0.0,UNK,19.1,10.368840579710145,16.703789389708817
12032,2026-01-09,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,19.1,148.382,310.929,111.0,198.0,7.475,0.0,0.017,0.0,UNK,19.1,10.368840579710145,16.703789389708817
12032,2026-01-09,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,19.1,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.387,1.0,UNK,8.5,10.368840579710145,16.703789389708817
12032,2026-01-10,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.26,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-10,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.28,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-10,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.091,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-10,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.0,99.923,359.388,76.0,111.0,13.049,1.0,0.135,0.0,UNK,5.8,10.368840579710145,16.703789389708817
12032,2026-01-10,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,5.8,148.382,310.929,111.0,198.0,7.475,0.0,0.293,1.0,UNK,4.4,10.368840579710145,16.703789389708817
12032,2026-01-10,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,4.4,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.037,1.0,UNK,18.3,10.368840579710145,16.703789389708817
12032,2026-01-11,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.023,0.0,UNK,8.1,10.368840579710145,16.703789389708817
12032,2026-01-11,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,8.1,42.981,416.33,28.0,61.0,7.189,0.0,0.324,1.0,UNK,7.3,10.368840579710145,16.703789389708817
12032,2026-01-11,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,7.3,79.043,380.268,61.0,76.0,7.514,0.0,0.046,1.0,UNK,17.2,10.368840579710145,16.703789389708817
12032,2026-01-11,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,17.2,99.923,359.388,76.0,111.0,13.049,1.0,0.132,0.0,UNK,19.9,10.368840579710145,16.703789389708817
12032,2026-01-11,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,19.9,148.382,310.929,111.0,198.0,7.475,0.0,0.262,1.0,UNK,17.7,10.368840579710145,16.703789389708817
12032,2026-01-11,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,17.7,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.227,0.0,UNK,42.2,10.368840579710145,16.703789389708817
12032,2026-01-12,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.146,0.0,UNK,11.0,10.368840579710145,16.703789389708817
12032,2026-01-12,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,11.0,42.981,416.33,28.0,61.0,7.189,0.0,0.114,0.0,UNK,8.6,10.368840579710145,16.703789389708817
12032,2026-01-12,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,8.6,79.043,380.268,61.0,76.0,7.514,0.0,0.11,0.0,UNK,8.3,10.368840579710145,16.703789389708817
12032,2026-01-12,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,8.3,99.923,359.388,76.0,111.0,13.049,1.0,0.356,0.0,UNK,23.3,10.368840579710145,16.703789389708817
12032,2026-01-12,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,23.3,148.382,310.929,111.0,198.0,7.475,0.0,0.089,0.0,UNK,21.8,10.368840579710145,16.703789389708817
12032,2026-01-12,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,21.8,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.314,1.0,UNK,13.1,10.368840579710145,16.703789389708817
12032,2026-01-13,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.115,1.0,UNK,2.3,10.368840579710145,16.703789389708817
12032,2026-01-13,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,2.3,42.981,416.33,28.0,61.0,7.189,0.0,0.029,1.0,UNK,10.1,10.368840579710145,16.703789389708817
12032,2026-01-13,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,10.1,79.043,380.268,61.0,76.0,7.514,0.0,0.263,1.0,UNK,8.7,10.368840579710145,16.703789389708817
12032,2026-01-13,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,8.7,99.923,359.388,76.0,111.0,13.049,1.0,0.004,0.0,UNK,10.2,10.368840579710145,16.703789389708817
12032,2026-01-13,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,10.2,148.382,310.929,111.0,198.0,7.475,0.0,0.182,0.0,UNK,16.8,10.368840579710145,16.703789389708817
12032,2026-01-13,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,16.8,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.046,1.0,UNK,19.2,10.368840579710145,16.703789389708817
12032,2026-01-14,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.647,1.0,UNK,5.9,10.368840579710145,16.703789389708817
12032,2026-01-14,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,5.9,42.981,416.33,28.0,61.0,7.189,0.0,0.232,1.0,UNK,11.6,10.368840579710145,16.703789389708817
12032,2026-01-14,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,11.6,79.043,380.268,61.0,76.0,7.514,0.0,0.202,0.0,UNK,14.5,10.368840579710145,16.703789389708817
12032,2026-01-14,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,14.5,99.923,359.388,76.0,111.0,13.049,0.0,0.295,0.0,UNK,10.3,10.368840579710145,16.703789389708817
12032,2026-01-14,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,10.3,148.382,310.929,111.0,198.0,7.475,0.0,0.139,0.0,UNK,23.1,10.368840579710145,16.703789389708817
12032,2026-01-14,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,23.1,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.214,0.0,UNK,15.0,10.368840579710145,16.703789389708817
12032,2026-01-15,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.845,1.0,UNK,9.2,10.368840579710145,16.703789389708817
12032,2026-01-15,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,9.2,42.981,416.33,28.0,61.0,7.189,0.0,0.196,0.0,UNK,7.2,10.368840579710145,16.703789389708817
12032,2026-01-15,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,7.2,79.043,380.268,61.0,76.0,7.514,0.0,0.344,1.0,UNK,5.5,10.368840579710145,16.703789389708817
12032,2026-01-15,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,5.5,99.923,359.388,76.0,111.0,13.049,0.0,0.093,0.0,UNK,2.6,10.368840579710145,16.703789389708817
12032,2026-01-15,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,2.6,148.382,310.929,111.0,198.0,7.475,0.0,0.055,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-15,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,0.0,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.765,1.0,UNK,24.5,10.368840579710145,16.703789389708817
12032,2026-01-16,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.389,0.0,UNK,11.2,10.368840579710145,16.703789389708817
12032,2026-01-16,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,11.2,42.981,416.33,28.0,61.0,7.189,0.0,0.374,1.0,UNK,10.5,10.368840579710145,16.703789389708817
12032,2026-01-16,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,10.5,79.043,380.268,61.0,76.0,7.514,0.0,0.397,1.0,UNK,14.9,10.368840579710145,16.703789389708817
12032,2026-01-16,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,14.9,99.923,359.388,76.0,111.0,13.049,0.0,0.009,0.0,UNK,11.1,10.368840579710145,16.703789389708817
12032,2026-01-16,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,11.1,148.382,310.929,111.0,198.0,7.475,0.0,0.31,0.0,UNK,14.0,10.368840579710145,16.703789389708817
12032,2026-01-16,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,14.0,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.299,1.0,UNK,28.9,10.368840579710145,16.703789389708817
12032,2026-01-17,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.14,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-17,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.167,0.0,UNK,9.5,10.368840579710145,16.703789389708817
12032,2026-01-17,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,9.5,79.043,380.268,61.0,76.0,7.514,0.0,0.217,1.0,UNK,8.8,10.368840579710145,16.703789389708817
12032,2026-01-17,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,8.8,99.923,359.388,76.0,111.0,13.049,0.0,0.178,0.0,UNK,4.0,10.368840579710145,16.703789389708817
12032,2026-01-17,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,4.0,148.382,310.929,111.0,198.0,7.475,0.0,0.303,1.0,UNK,6.4,10.368840579710145,16.703789389708817
12032,2026-01-17,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,6.4,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.008,1.0,UNK,13.9,10.368840579710145,16.703789389708817
12032,2026-01-18,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.61,1.0,UNK,4.4,10.368840579710145,16.703789389708817
12032,2026-01-18,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,4.4,42.981,416.33,28.0,61.0,7.189,0.0,0.082,1.0,UNK,16.8,10.368840579710145,16.703789389708817
12032,2026-01-18,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,16.8,79.043,380.268,61.0,76.0,7.514,0.0,0.256,1.0,UNK,24.4,10.368840579710145,16.703789389708817
12032,2026-01-18,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,24.4,99.923,359.388,76.0,111.0,13.049,0.0,0.204,0.0,UNK,24.2,10.368840579710145,16.703789389708817
12032,2026-01-18,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,24.2,148.382,310.929,111.0,198.0,7.475,0.0,0.302,1.0,UNK,29.7,10.368840579710145,16.703789389708817
12032,2026-01-18,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,29.7,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.699,1.0,UNK,30.5,10.368840579710145,16.703789389708817
12032,2026-01-19,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.397,0.0,UNK,0.2,10.368840579710145,16.703789389708817
12032,2026-01-19,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.2,42.981,416.33,28.0,61.0,7.189,0.0,0.279,1.0,UNK,2.5,10.368840579710145,16.703789389708817
12032,2026-01-19,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,2.5,79.043,380.268,61.0,76.0,7.514,0.0,0.072,0.0,UNK,6.9,10.368840579710145,16.703789389708817
12032,2026-01-19,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,6.9,99.923,359.388,76.0,111.0,13.049,0.0,0.33,1.0,UNK,18.9,10.368840579710145,16.703789389708817
12032,2026-01-19,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,18.9,148.382,310.929,111.0,198.0,7.475,0.0,0.232,0.0,UNK,6.1,10.368840579710145,16.703789389708817
12032,2026-01-19,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,6.1,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.18,0.0,UNK,39.4,10.368840579710145,16.703789389708817
12032,2026-01-20,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.008,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-20,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.142,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-20,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.321,1.0,UNK,0.4,10.368840579710145,16.703789389708817
12032,2026-01-20,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.4,99.923,359.388,76.0,111.0,13.049,0.0,0.257,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-20,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,0.0,148.382,310.929,111.0,198.0,7.475,0.0,0.046,1.0,UNK,0.1,10.368840579710145,16.703789389708817
12032,2026-01-20,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,0.1,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.363,0.0,UNK,22.5,10.368840579710145,16.703789389708817
12032,2026-01-21,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.056,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-21,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.021,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-21,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.219,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-21,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.0,99.923,359.388,76.0,111.0,13.049,0.0,0.03,0.0,UNK,0.2,10.368840579710145,16.703789389708817
12032,2026-01-21,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,0.2,148.382,310.929,111.0,198.0,7.475,0.0,0.162,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-21,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,0.0,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.262,1.0,UNK,39.0,10.368840579710145,16.703789389708817
12032,2026-01-22,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.017,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-22,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.062,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-22,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.127,1.0,UNK,2.4,10.368840579710145,16.703789389708817
12032,2026-01-22,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,2.4,99.923,359.388,76.0,111.0,13.049,0.0,0.257,1.0,UNK,3.3,10.368840579710145,16.703789389708817
12032,2026-01-22,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,3.3,148.382,310.929,111.0,198.0,7.475,0.0,0.07,0.0,UNK,8.1,10.368840579710145,16.703789389708817
